,Manual_Genes
AC000099.1,False
AC000120.1,False
AC000123.1,False
AC000124.1,False
AC000372.1,False
AC000403.1,False
AC001226.1,False
AC001226.2,False
AC002044.1,False
AC002056.2,False
AC002059.1,False
AC002064.1,False
AC002064.2,False
AC002064.5,False
AC002066.1,False
AC002070.1,False
AC002074.1,False
AC002076.1,False
AC002076.10,False
AC002091.1,False
AC002091.2,False
AC002094.2,False
AC002094.4,False
AC002101.1,False
AC002115.1,False
AC002116.2,False
AC002116.7,False
AC002117.1,False
AC002128.1,False
AC002128.2,False
AC002128.5,False
AC002306.1,False
AC002310.1,False
AC002310.12,False
AC002310.2,False
AC002310.7,False
AC002331.1,False
AC002347.1,False
AC002347.2,False
AC002375.1,False
AC002377.1,False
AC002378.1,False
AC002383.1,False
AC002384.1,False
AC002386.1,False
AC002398.1,False
AC002398.11,False
AC002398.12,False
AC002398.2,False
AC002398.5,False
AC002401.1,False
AC002401.3,False
AC002401.4,False
AC002428.1,False
AC002429.2,False
AC002429.5,False
AC002451.1,False
AC002451.3,False
AC002454.1,False
AC002456.1,False
AC002456.2,False
AC002458.1,False
AC002460.2,False
AC002463.1,False
AC002463.3,False
AC002464.1,False
AC002465.1,False
AC002467.1,False
AC002467.7,False
AC002470.1,False
AC002472.1,False
AC002472.13,False
AC002480.1,False
AC002480.2,False
AC002480.3,False
AC002480.4,False
AC002511.1,False
AC002511.2,False
AC002519.1,False
AC002546.1,False
AC002550.1,False
AC002550.2,False
AC002550.5,False
AC002551.1,False
AC002553.1,False
AC002553.2,False
AC002558.2,False
AC002558.3,False
AC002563.1,False
AC003001.1,False
AC003005.2,False
AC003035.1,False
AC003035.2,False
AC003043.1,False
AC003043.2,False
AC003051.1,False
AC003070.1,False
AC003070.2,False
AC003075.4,False
AC003077.1,False
AC003084.1,False
AC003086.1,False
AC003090.1,False
AC003092.1,False
AC003092.2,False
AC003093.1,False
AC003098.1,False
AC003101.1,False
AC003101.2,False
AC003102.1,False
AC003102.3,False
AC003659.1,False
AC003665.1,False
AC003666.1,False
AC003681.1,False
AC003682.1,False
AC003684.1,False
AC003956.1,False
AC003958.2,False
AC003965.1,False
AC003965.2,False
AC003973.1,False
AC003975.1,False
AC003982.1,False
AC003984.1,False
AC003985.1,False
AC003985.2,False
AC003986.2,False
AC003986.3,False
AC003988.1,False
AC003991.1,False
AC003991.2,False
AC003991.3,False
AC003992.1,False
AC004000.1,False
AC004009.1,False
AC004009.3,False
AC004012.1,False
AC004014.1,False
AC004019.13,False
AC004023.1,False
AC004034.1,False
AC004039.1,False
AC004052.1,False
AC004053.1,False
AC004054.1,False
AC004066.2,False
AC004066.3,False
AC004067.1,False
AC004067.5,False
AC004069.1,False
AC004069.2,False
AC004076.2,False
AC004080.1,False
AC004080.2,False
AC004083.1,False
AC004112.1,False
AC004130.1,False
AC004130.2,False
AC004147.2,False
AC004148.1,False
AC004148.2,False
AC004156.1,False
AC004156.3,False
AC004158.1,False
AC004158.2,False
AC004160.1,False
AC004160.2,False
AC004160.4,False
AC004217.1,False
AC004221.1,False
AC004221.2,False
AC004223.2,False
AC004223.4,False
AC004231.1,False
AC004231.2,False
AC004231.3,False
AC004232.1,False
AC004233.1,False
AC004233.2,False
AC004233.3,False
AC004233.4,False
AC004241.1,False
AC004241.2,False
AC004241.3,False
AC004241.4,False
AC004253.1,False
AC004257.1,False
AC004257.3,False
AC004263.1,False
AC004263.2,False
AC004264.1,False
AC004381.1,False
AC004381.6,False
AC004408.1,False
AC004447.2,False
AC004448.2,False
AC004449.1,False
AC004449.6,False
AC004463.6,False
AC004466.1,False
AC004466.2,False
AC004466.3,False
AC004470.1,False
AC004471.1,False
AC004471.2,False
AC004477.1,False
AC004477.2,False
AC004477.3,False
AC004485.1,False
AC004490.1,False
AC004492.1,False
AC004494.1,False
AC004510.3,False
AC004520.1,False
AC004522.5,False
AC004528.1,False
AC004528.2,False
AC004528.4,False
AC004540.1,False
AC004540.2,False
AC004540.4,False
AC004540.5,False
AC004542.1,False
AC004542.2,False
AC004543.1,False
AC004549.6,False
AC004551.1,False
AC004554.2,False
AC004556.1,False
AC004556.3,False
AC004584.1,False
AC004584.3,False
AC004585.1,False
AC004590.1,False
AC004593.1,False
AC004593.2,False
AC004593.3,False
AC004594.1,False
AC004596.1,False
AC004597.1,False
AC004637.1,False
AC004672.1,False
AC004687.1,False
AC004690.2,False
AC004691.1,False
AC004692.2,False
AC004702.1,False
AC004704.1,False
AC004706.1,False
AC004706.3,False
AC004707.1,False
AC004754.1,False
AC004765.1,False
AC004771.1,False
AC004771.2,False
AC004771.3,False
AC004771.4,False
AC004771.5,False
AC004775.1,False
AC004775.5,False
AC004784.1,False
AC004797.1,False
AC004801.3,False
AC004801.4,False
AC004801.6,False
AC004803.1,False
AC004812.2,False
AC004816.1,False
AC004816.2,False
AC004817.1,False
AC004817.2,False
AC004817.3,False
AC004817.4,False
AC004817.5,False
AC004824.2,False
AC004825.2,False
AC004825.3,False
AC004828.1,False
AC004828.2,False
AC004832.1,False
AC004832.4,False
AC004832.5,False
AC004832.6,False
AC004834.1,False
AC004835.1,False
AC004837.2,False
AC004837.4,False
AC004839.1,False
AC004839.2,False
AC004840.9,False
AC004846.1,False
AC004846.2,False
AC004847.1,False
AC004852.2,False
AC004854.2,False
AC004854.4,False
AC004862.1,False
AC004862.6,False
AC004865.2,False
AC004870.2,False
AC004870.3,False
AC004870.4,False
AC004875.1,False
AC004877.1,False
AC004878.2,False
AC004878.8,False
AC004882.1,False
AC004882.3,False
AC004884.2,False
AC004888.1,False
AC004889.1,False
AC004893.11,False
AC004893.3,False
AC004895.1,False
AC004895.4,False
AC004900.1,False
AC004906.1,False
AC004908.1,False
AC004908.2,False
AC004908.3,False
AC004917.1,False
AC004918.1,False
AC004918.4,False
AC004921.1,False
AC004921.2,False
AC004922.1,False
AC004923.4,False
AC004930.1,False
AC004936.1,False
AC004938.2,False
AC004941.1,False
AC004941.3,False
AC004943.1,False
AC004943.2,False
AC004943.3,False
AC004946.1,False
AC004947.1,False
AC004947.2,False
AC004948.1,False
AC004949.1,False
AC004951.1,False
AC004951.6,False
AC004969.1,False
AC004973.1,False
AC004974.1,False
AC004975.2,False
AC004982.1,False
AC004982.2,False
AC004988.1,False
AC004990.1,False
AC004994.1,False
AC005003.1,False
AC005005.3,False
AC005005.4,False
AC005008.2,False
AC005009.1,False
AC005009.2,False
AC005013.1,False
AC005013.5,False
AC005014.2,False
AC005014.3,False
AC005019.2,False
AC005021.1,False
AC005034.2,False
AC005034.3,False
AC005034.4,False
AC005034.5,False
AC005034.6,False
AC005037.1,False
AC005037.3,False
AC005041.1,False
AC005041.3,False
AC005041.4,False
AC005041.5,False
AC005042.2,False
AC005042.4,False
AC005046.1,False
AC005050.1,False
AC005050.2,False
AC005050.3,False
AC005052.2,False
AC005062.1,False
AC005064.1,False
AC005070.3,False
AC005071.1,False
AC005072.1,False
AC005076.1,False
AC005076.5,False
AC005081.1,False
AC005082.1,False
AC005082.12,False
AC005082.2,False
AC005083.1,False
AC005086.2,False
AC005089.1,False
AC005090.1,False
AC005091.1,False
AC005096.1,False
AC005104.1,False
AC005104.3,False
AC005144.1,False
AC005152.3,False
AC005154.3,False
AC005154.4,False
AC005162.1,False
AC005162.2,False
AC005162.3,False
AC005165.1,False
AC005180.1,False
AC005180.2,False
AC005197.1,False
AC005197.2,False
AC005208.1,False
AC005209.1,False
AC005220.1,False
AC005220.3,False
AC005224.1,False
AC005224.2,False
AC005224.3,False
AC005224.4,False
AC005225.2,False
AC005225.3,False
AC005229.4,False
AC005234.1,False
AC005237.1,False
AC005244.2,False
AC005253.1,False
AC005253.2,False
AC005256.1,False
AC005261.1,False
AC005261.2,False
AC005261.3,False
AC005262.2,False
AC005264.1,False
AC005264.2,False
AC005276.1,False
AC005277.1,False
AC005277.2,False
AC005280.1,False
AC005280.2,False
AC005281.1,False
AC005288.1,False
AC005291.1,False
AC005291.2,False
AC005293.1,False
AC005304.1,False
AC005304.2,False
AC005304.3,False
AC005306.1,False
AC005306.3,False
AC005307.1,False
AC005307.3,False
AC005323.1,False
AC005323.2,False
AC005324.3,False
AC005324.5,False
AC005329.1,False
AC005329.2,False
AC005329.3,False
AC005329.7,False
AC005330.1,False
AC005330.2,False
AC005332.1,False
AC005332.2,False
AC005332.3,False
AC005332.4,False
AC005332.5,False
AC005332.6,False
AC005332.7,False
AC005332.8,False
AC005339.1,False
AC005339.2,False
AC005342.1,False
AC005342.2,False
AC005343.1,False
AC005355.1,False
AC005355.2,False
AC005356.1,False
AC005358.1,False
AC005358.2,False
AC005363.11,False
AC005363.2,False
AC005381.1,False
AC005383.1,False
AC005387.2,False
AC005391.1,False
AC005392.2,False
AC005392.3,False
AC005393.1,False
AC005394.1,False
AC005400.1,False
AC005410.2,False
AC005476.2,False
AC005479.1,False
AC005479.2,False
AC005480.1,False
AC005481.1,False
AC005481.5,False
AC005482.1,False
AC005486.1,False
AC005487.1,False
AC005487.2,False
AC005498.1,False
AC005498.2,False
AC005498.3,False
AC005519.1,False
AC005520.1,False
AC005520.2,False
AC005520.3,False
AC005520.5,False
AC005522.1,False
AC005523.1,False
AC005523.2,False
AC005523.3,False
AC005532.1,False
AC005534.1,False
AC005534.8,False
AC005537.1,False
AC005537.2,False
AC005540.1,False
AC005540.3,False
AC005544.1,False
AC005546.1,False
AC005550.2,False
AC005550.3,False
AC005551.1,False
AC005562.1,False
AC005580.1,False
AC005586.1,False
AC005586.2,False
AC005592.1,False
AC005592.2,False
AC005592.3,False
AC005597.1,False
AC005606.1,False
AC005606.15,False
AC005606.2,False
AC005609.1,False
AC005609.3,False
AC005609.4,False
AC005609.5,False
AC005614.1,False
AC005614.3,False
AC005616.1,False
AC005616.2,False
AC005618.1,False
AC005618.3,False
AC005618.4,False
AC005618.6,False
AC005625.1,False
AC005632.3,False
AC005632.6,False
AC005670.1,False
AC005670.2,False
AC005670.3,False
AC005674.1,False
AC005674.2,False
AC005682.2,False
AC005682.8,False
AC005692.1,False
AC005692.2,False
AC005692.3,False
AC005695.1,False
AC005695.2,False
AC005695.3,False
AC005696.1,False
AC005696.2,False
AC005696.3,False
AC005696.4,False
AC005697.2,False
AC005699.1,False
AC005703.2,False
AC005703.3,False
AC005703.4,False
AC005725.1,False
AC005726.1,False
AC005726.2,False
AC005726.3,False
AC005726.4,False
AC005726.5,False
AC005730.2,False
AC005730.3,False
AC005736.1,False
AC005740.3,False
AC005740.4,False
AC005740.5,False
AC005740.6,False
AC005746.2,False
AC005746.3,False
AC005753.1,False
AC005753.2,False
AC005753.3,False
AC005754.7,False
AC005754.8,False
AC005757.1,False
AC005757.6,False
AC005759.1,False
AC005772.1,False
AC005775.1,False
AC005775.2,False
AC005776.2,False
AC005785.1,False
AC005786.2,False
AC005786.3,False
AC005786.5,False
AC005786.7,False
AC005789.11,False
AC005790.1,False
AC005803.1,False
AC005808.1,False
AC005821.1,False
AC005821.2,False
AC005828.1,False
AC005828.2,False
AC005828.3,False
AC005828.4,False
AC005828.5,False
AC005833.1,False
AC005833.2,False
AC005837.1,False
AC005837.3,False
AC005838.2,False
AC005840.2,False
AC005840.4,False
AC005841.1,False
AC005842.1,False
AC005845.1,False
AC005856.1,False
AC005863.1,False
AC005865.1,False
AC005865.2,False
AC005871.2,False
AC005884.1,False
AC005884.2,False
AC005899.1,False
AC005899.3,False
AC005899.5,False
AC005899.6,False
AC005899.7,False
AC005899.8,False
AC005909.1,False
AC005911.1,False
AC005914.1,False
AC005920.1,False
AC005920.2,False
AC005920.3,False
AC005920.4,False
AC005921.2,False
AC005932.1,False
AC005943.5,False
AC005944.1,False
AC005944.2,False
AC005954.2,False
AC005954.4,False
AC005962.1,False
AC005962.2,False
AC005972.1,False
AC005972.3,False
AC005993.1,False
AC005996.1,False
AC005998.1,False
AC006000.5,False
AC006001.2,False
AC006003.1,False
AC006004.1,False
AC006008.1,False
AC006013.1,False
AC006017.1,False
AC006019.1,False
AC006019.2,False
AC006019.3,False
AC006027.1,False
AC006033.2,False
AC006041.1,False
AC006042.1,False
AC006042.2,False
AC006042.4,False
AC006042.6,False
AC006043.1,False
AC006058.1,False
AC006058.3,False
AC006059.1,False
AC006059.5,False
AC006062.1,False
AC006064.1,False
AC006064.2,False
AC006064.3,False
AC006064.4,False
AC006064.5,False
AC006065.4,False
AC006076.1,False
AC006111.1,False
AC006111.2,False
AC006111.3,False
AC006115.2,False
AC006115.3,False
AC006116.10,False
AC006116.17,False
AC006116.20,False
AC006116.4,False
AC006116.5,False
AC006116.8,False
AC006116.9,False
AC006126.3,False
AC006129.1,False
AC006129.2,False
AC006129.4,False
AC006130.1,False
AC006130.3,False
AC006141.1,False
AC006145.1,False
AC006146.1,False
AC006148.1,False
AC006148.2,False
AC006150.1,False
AC006157.1,False
AC006159.1,False
AC006159.3,False
AC006159.4,False
AC006160.1,False
AC006160.5,False
AC006197.2,False
AC006205.2,False
AC006206.1,False
AC006206.2,False
AC006207.1,False
AC006213.1,False
AC006213.2,False
AC006213.3,False
AC006213.4,False
AC006213.7,False
AC006230.1,False
AC006237.1,False
AC006238.1,False
AC006252.1,False
AC006254.1,False
AC006262.1,False
AC006262.2,False
AC006262.4,False
AC006262.5,False
AC006270.1,False
AC006273.1,False
AC006273.4,False
AC006273.5,False
AC006273.7,False
AC006277.2,False
AC006288.1,False
AC006296.1,False
AC006296.2,False
AC006299.1,False
AC006305.1,False
AC006305.3,False
AC006329.1,False
AC006333.1,False
AC006333.2,False
AC006355.2,False
AC006357.1,False
AC006364.1,False
AC006369.1,False
AC006369.2,False
AC006372.1,False
AC006372.2,False
AC006372.3,False
AC006372.4,False
AC006378.1,False
AC006387.1,False
AC006427.2,False
AC006435.1,False
AC006435.2,False
AC006435.3,False
AC006441.1,False
AC006441.3,False
AC006441.4,False
AC006449.1,False
AC006449.2,False
AC006449.3,False
AC006449.5,False
AC006449.6,False
AC006458.1,False
AC006460.1,False
AC006460.2,False
AC006480.2,False
AC006483.2,False
AC006486.1,False
AC006487.1,False
AC006504.1,False
AC006504.2,False
AC006504.5,False
AC006504.7,False
AC006511.4,False
AC006511.6,False
AC006517.2,False
AC006525.1,False
AC006538.1,False
AC006547.1,False
AC006547.13,False
AC006547.14,False
AC006547.15,False
AC006547.2,False
AC006547.3,False
AC006547.8,False
AC006557.1,False
AC006557.3,False
AC006566.1,False
AC006581.1,False
AC006581.2,False
AC006942.1,False
AC006942.4,False
AC006946.15,False
AC006946.16,False
AC006946.2,False
AC006946.3,False
AC006960.2,False
AC006960.3,False
AC006967.1,False
AC006967.3,False
AC006974.1,False
AC006974.2,False
AC006994.2,False
AC007001.1,False
AC007009.1,False
AC007014.1,False
AC007014.2,False
AC007029.1,False
AC007032.1,False
AC007036.1,False
AC007036.2,False
AC007036.3,False
AC007036.5,False
AC007036.6,False
AC007038.1,False
AC007038.2,False
AC007038.7,False
AC007040.1,False
AC007040.11,False
AC007040.2,False
AC007040.6,False
AC007040.7,False
AC007064.2,False
AC007064.24,False
AC007066.2,False
AC007066.3,False
AC007091.1,False
AC007098.1,False
AC007099.1,False
AC007099.2,False
AC007100.1,False
AC007106.1,False
AC007106.2,False
AC007114.1,False
AC007114.2,False
AC007126.1,False
AC007128.1,False
AC007128.2,False
AC007130.1,False
AC007159.1,False
AC007161.5,False
AC007163.1,False
AC007163.3,False
AC007179.1,False
AC007182.1,False
AC007182.6,False
AC007192.2,False
AC007192.6,False
AC007193.1,False
AC007193.2,False
AC007193.3,False
AC007193.9,False
AC007207.2,False
AC007216.1,False
AC007216.2,False
AC007216.3,False
AC007216.4,False
AC007218.1,False
AC007218.2,False
AC007218.3,False
AC007220.1,False
AC007221.1,False
AC007228.11,False
AC007228.2,False
AC007228.9,False
AC007240.1,False
AC007240.3,False
AC007246.3,False
AC007249.2,False
AC007250.1,False
AC007255.1,False
AC007255.8,False
AC007262.2,False
AC007271.1,False
AC007272.1,False
AC007277.1,False
AC007277.3,False
AC007278.1,False
AC007278.2,False
AC007279.2,False
AC007285.1,False
AC007285.2,False
AC007285.6,False
AC007292.1,False
AC007292.2,False
AC007292.3,False
AC007292.4,False
AC007292.6,False
AC007298.1,False
AC007298.2,False
AC007308.1,False
AC007308.6,False
AC007308.7,False
AC007314.1,False
AC007319.1,False
AC007325.1,False
AC007325.2,False
AC007325.4,False
AC007326.4,False
AC007326.5,False
AC007327.2,False
AC007333.2,False
AC007336.1,False
AC007336.2,False
AC007342.1,False
AC007342.4,False
AC007342.5,False
AC007344.1,False
AC007347.1,False
AC007349.1,False
AC007349.2,False
AC007349.3,False
AC007349.4,False
AC007349.5,False
AC007349.7,False
AC007362.1,False
AC007364.1,False
AC007365.1,False
AC007365.3,False
AC007368.1,False
AC007370.1,False
AC007370.2,False
AC007376.2,False
AC007378.1,False
AC007381.1,False
AC007382.1,False
AC007383.2,False
AC007383.3,False
AC007383.4,False
AC007384.1,False
AC007386.2,False
AC007387.2,False
AC007387.3,False
AC007388.1,False
AC007389.1,False
AC007389.3,False
AC007389.5,False
AC007390.2,False
AC007391.1,False
AC007392.3,False
AC007392.4,False
AC007401.2,False
AC007402.1,False
AC007403.1,False
AC007403.2,False
AC007405.1,False
AC007405.2,False
AC007405.3,False
AC007405.4,False
AC007405.6,False
AC007406.3,False
AC007406.4,False
AC007406.5,False
AC007422.1,False
AC007422.2,False
AC007423.1,False
AC007431.1,False
AC007431.2,False
AC007448.3,False
AC007448.4,False
AC007448.5,False
AC007450.1,False
AC007461.2,False
AC007463.1,False
AC007485.1,False
AC007491.1,False
AC007493.1,False
AC007493.2,False
AC007494.2,False
AC007495.1,False
AC007496.1,False
AC007496.2,False
AC007497.1,False
AC007497.2,False
AC007513.1,False
AC007528.1,False
AC007529.1,False
AC007529.2,False
AC007533.1,False
AC007535.1,False
AC007540.1,False
AC007541.1,False
AC007546.1,False
AC007551.3,False
AC007552.2,False
AC007556.1,False
AC007556.3,False
AC007557.1,False
AC007557.3,False
AC007563.1,False
AC007563.2,False
AC007563.5,False
AC007566.1,False
AC007566.10,False
AC007569.1,False
AC007570.1,False
AC007595.1,False
AC007598.2,False
AC007599.2,False
AC007601.1,False
AC007601.2,False
AC007608.1,False
AC007608.2,False
AC007608.3,False
AC007610.1,False
AC007610.2,False
AC007611.1,False
AC007613.1,False
AC007614.1,False
AC007619.1,False
AC007620.2,False
AC007620.3,False
AC007622.2,False
AC007637.1,False
AC007638.1,False
AC007638.2,False
AC007639.1,False
AC007652.1,False
AC007655.1,False
AC007655.2,False
AC007656.1,False
AC007663.2,False
AC007663.3,False
AC007663.4,False
AC007666.1,False
AC007666.2,False
AC007671.1,False
AC007673.1,False
AC007679.1,False
AC007679.3,False
AC007681.1,False
AC007684.2,False
AC007686.2,False
AC007686.3,False
AC007686.4,False
AC007687.1,False
AC007695.1,False
AC007728.1,False
AC007728.2,False
AC007728.3,False
AC007731.1,False
AC007731.2,False
AC007731.3,False
AC007731.5,False
AC007743.1,False
AC007749.1,False
AC007750.1,False
AC007750.5,False
AC007773.1,False
AC007773.2,False
AC007780.1,False
AC007785.1,False
AC007785.3,False
AC007786.1,False
AC007786.2,False
AC007786.3,False
AC007787.1,False
AC007795.1,False
AC007823.1,False
AC007834.1,False
AC007846.1,False
AC007848.1,False
AC007849.1,False
AC007861.1,False
AC007877.1,False
AC007878.1,False
AC007879.1,False
AC007879.2,False
AC007879.3,False
AC007879.4,False
AC007879.5,False
AC007879.6,False
AC007879.7,False
AC007880.1,False
AC007881.2,False
AC007881.3,False
AC007881.4,False
AC007906.1,False
AC007906.2,False
AC007920.1,False
AC007920.2,False
AC007922.1,False
AC007922.2,False
AC007922.3,False
AC007923.1,False
AC007923.4,False
AC007938.1,False
AC007938.2,False
AC007938.3,False
AC007948.1,False
AC007950.1,False
AC007950.2,False
AC007952.2,False
AC007952.3,False
AC007952.4,False
AC007952.5,False
AC007952.6,False
AC007952.7,False
AC007953.1,False
AC007953.2,False
AC007966.1,False
AC007991.3,False
AC007991.4,False
AC007993.2,False
AC007993.3,False
AC007996.1,False
AC007998.2,False
AC007998.3,False
AC007998.4,False
AC008011.2,False
AC008014.1,False
AC008026.3,False
AC008033.3,False
AC008035.1,False
AC008040.1,False
AC008040.5,False
AC008050.1,False
AC008056.1,False
AC008056.2,False
AC008060.1,False
AC008060.3,False
AC008063.1,False
AC008063.2,False
AC008063.3,False
AC008067.1,False
AC008073.1,False
AC008073.2,False
AC008074.1,False
AC008074.2,False
AC008074.3,False
AC008079.1,False
AC008079.2,False
AC008080.1,False
AC008080.2,False
AC008080.3,False
AC008080.4,False
AC008083.1,False
AC008083.2,False
AC008083.3,False
AC008083.4,False
AC008088.4,False
AC008105.1,False
AC008105.3,False
AC008114.1,False
AC008115.1,False
AC008115.2,False
AC008115.3,False
AC008115.4,False
AC008119.1,False
AC008121.2,False
AC008121.3,False
AC008124.1,False
AC008127.1,False
AC008132.1,False
AC008132.13,False
AC008147.1,False
AC008147.2,False
AC008149.1,False
AC008149.2,False
AC008154.1,False
AC008154.5,False
AC008164.1,False
AC008174.3,False
AC008180.2,False
AC008243.1,False
AC008250.1,False
AC008264.2,False
AC008267.1,False
AC008267.5,False
AC008268.1,False
AC008269.1,False
AC008269.2,False
AC008273.1,False
AC008277.1,False
AC008278.1,False
AC008278.2,False
AC008280.3,False
AC008378.1,False
AC008393.1,False
AC008394.1,False
AC008395.1,False
AC008397.1,False
AC008397.2,False
AC008403.2,False
AC008403.3,False
AC008406.1,False
AC008406.3,False
AC008415.1,False
AC008429.1,False
AC008429.3,False
AC008434.1,False
AC008438.1,False
AC008438.2,False
AC008440.1,False
AC008440.10,False
AC008440.2,False
AC008440.5,False
AC008443.1,False
AC008443.2,False
AC008443.3,False
AC008443.4,False
AC008443.5,False
AC008443.6,False
AC008443.8,False
AC008443.9,False
AC008453.1,False
AC008453.2,False
AC008456.1,False
AC008464.1,False
AC008467.1,False
AC008474.1,False
AC008494.3,False
AC008496.2,False
AC008496.3,False
AC008505.1,False
AC008507.2,False
AC008507.4,False
AC008507.5,False
AC008514.1,False
AC008517.1,False
AC008522.1,False
AC008532.1,False
AC008534.1,False
AC008537.2,False
AC008537.4,False
AC008539.1,False
AC008543.1,False
AC008543.4,False
AC008543.5,False
AC008549.1,False
AC008549.2,False
AC008551.1,False
AC008554.1,False
AC008555.1,False
AC008555.2,False
AC008555.4,False
AC008555.5,False
AC008556.1,False
AC008567.2,False
AC008568.1,False
AC008569.1,False
AC008569.2,False
AC008572.1,False
AC008574.1,False
AC008581.1,False
AC008591.1,False
AC008592.1,False
AC008592.2,False
AC008592.4,False
AC008592.5,False
AC008592.8,False
AC008608.2,False
AC008609.1,False
AC008610.1,False
AC008619.1,False
AC008622.2,False
AC008625.1,False
AC008629.1,False
AC008632.1,False
AC008635.1,False
AC008637.1,False
AC008641.1,False
AC008649.1,False
AC008649.2,False
AC008655.1,False
AC008655.2,False
AC008662.1,False
AC008663.2,False
AC008667.1,False
AC008667.2,False
AC008667.3,False
AC008667.4,False
AC008674.1,False
AC008676.1,False
AC008679.1,False
AC008680.1,False
AC008686.1,False
AC008687.2,False
AC008687.4,False
AC008691.1,False
AC008697.1,False
AC008700.1,False
AC008703.1,False
AC008708.2,False
AC008728.1,False
AC008731.1,False
AC008734.2,False
AC008735.1,False
AC008735.2,False
AC008735.3,False
AC008735.4,False
AC008736.1,False
AC008738.1,False
AC008738.2,False
AC008738.3,False
AC008738.5,False
AC008739.1,False
AC008741.2,False
AC008742.1,False
AC008746.12,False
AC008747.1,False
AC008750.2,False
AC008750.3,False
AC008750.4,False
AC008750.7,False
AC008752.1,False
AC008752.2,False
AC008753.3,False
AC008753.6,False
AC008758.2,False
AC008758.4,False
AC008759.2,False
AC008759.3,False
AC008760.1,False
AC008760.2,False
AC008761.1,False
AC008763.1,False
AC008763.2,False
AC008764.2,False
AC008764.3,False
AC008764.5,False
AC008764.6,False
AC008764.7,False
AC008764.8,False
AC008771.1,False
AC008780.1,False
AC008780.2,False
AC008781.1,False
AC008781.2,False
AC008781.3,False
AC008781.7,False
AC008798.2,False
AC008799.2,False
AC008808.1,False
AC008808.2,False
AC008825.1,False
AC008840.1,False
AC008870.2,False
AC008870.3,False
AC008870.4,False
AC008871.1,False
AC008875.1,False
AC008875.2,False
AC008875.3,False
AC008878.4,False
AC008883.1,False
AC008883.2,False
AC008883.3,False
AC008885.2,False
AC008892.1,False
AC008894.1,False
AC008894.2,False
AC008897.2,False
AC008897.3,False
AC008906.1,False
AC008906.2,False
AC008914.1,False
AC008915.1,False
AC008915.2,False
AC008937.1,False
AC008937.2,False
AC008937.3,False
AC008938.1,False
AC008945.1,False
AC008946.1,False
AC008948.1,False
AC008957.1,False
AC008957.2,False
AC008964.1,False
AC008966.1,False
AC008966.2,False
AC008966.3,False
AC008969.1,False
AC008972.1,False
AC008972.2,False
AC008982.2,False
AC008991.1,False
AC008992.1,False
AC009005.1,False
AC009005.2,False
AC009014.3,False
AC009019.1,False
AC009021.1,False
AC009021.2,False
AC009032.1,False
AC009034.1,False
AC009035.1,False
AC009041.1,False
AC009041.2,False
AC009041.4,False
AC009053.2,False
AC009053.3,False
AC009054.1,False
AC009054.2,False
AC009055.1,False
AC009055.2,False
AC009060.1,False
AC009061.1,False
AC009061.2,False
